Mod:Item:MetaData, Localized Name
industrialupgrade:gear:7, Магниевая шестерня
industrialupgrade:gear:8, Никелевая шестерня
industrialupgrade:gear:9, Платиновая шестерня
industrialupgrade:gear:10, Титановая шестерня
industrialupgrade:gear:11, Хромовая шестерня
industrialupgrade:gear:12, Шпинелевая шестерня
industrialupgrade:gear:13, Электрумовая шестерня
industrialupgrade:gear:14, Серебряная шестерня
industrialupgrade:gear:15, Цинковая шестерня
industrialupgrade:gear:16, Марганцевая шестерня
industrialupgrade:gear:17, Иридиевая шестерня
industrialupgrade:gear:18, Германиевая шестерня
industrialupgrade:gear:19, Осмиевая шестерня
industrialupgrade:gear:20, Танталиевая шестерня
industrialupgrade:gear:21, Кадмиевая шестерня
industrialupgrade:sensor:0, Датчик
industrialupgrade:alloygear:0, Шестерня из алюминиевой бронзы
industrialupgrade:alloygear:1, Шестерня из алюминида титана
industrialupgrade:alloygear:2, Шестерня из красной латуни
industrialupgrade:alloygear:3, Шестерня из мунц-металла
industrialupgrade:alloygear:4, Нихромовая шестерня
industrialupgrade:alloygear:5, Алькледная шестерня
industrialupgrade:alloygear:6, Шестерня из ванадиево-алюминиевого сплава
industrialupgrade:alloygear:7, Виталлиевая шестерня
industrialupgrade:alloygear:8, Дюралюминиевая шестерня
industrialupgrade:alloygear:9, Ферромарганцевая шестерня
industrialupgrade:corewater:0, Деревянная сердцевина водяного ротора
industrialupgrade:corewater:1, Бронзовая сердцевина водяного ротора
industrialupgrade:corewater:2, Железная сердцевина водяного ротора
industrialupgrade:corewater:3, Стальная сердцевина водяного ротора
industrialupgrade:corewater:4, Углеволоконная седцевина водяного ротора
industrialupgrade:corewater:5, Иридиевая сердцевина водяного ротора
industrialupgrade:corewater:6, Сжатая иридиевая сердцевина водяного ротора
industrialupgrade:corewater:7, Спектральная сердцевина водяного ротора
industrialupgrade:corewater:8, Мистическая сердцевина водяного ротора
industrialupgrade:corewater:9, Фотонная седрцевина водяного ротора
industrialupgrade:corewater:10, Нейтронная седцевина водяного ротора
industrialupgrade:corewater:11, Барионная сердцевина водяного ротора
industrialupgrade:corewater:12, Адронная сердцевина водяного ротора
industrialupgrade:corewater:13, Ультрамариновая сердцевина водяного ротора
industrialupgrade:heatcoldpipes_iu_item:0, Универсальная тепловая труба
industrialupgrade:heatcoldpipes_iu_item:1, Улучшенная универсальная тепловая труба
industrialupgrade:heatcoldpipes_iu_item:2, Продвинутая универсальная тепловая труба
industrialupgrade:heatcoldpipes_iu_item:3, Совершенная универсальная тепловая труба
industrialupgrade:heatcoldpipes_iu_item:4, Квантовая универсальная тепловая труба
industrialupgrade:universal_cable_item:0, §aУниверсальный спектральный провод
industrialupgrade:universal_cable_item:1, §9Универсальный протонный провод
industrialupgrade:universal_cable_item:2, §eУниверсальный сингулярный провод
industrialupgrade:universal_cable_item:3, §6Универсальный мифический провод
industrialupgrade:universal_cable_item:4, §5Универсальный квантовый провод
industrialupgrade:universal_cable_item:5, §dУниверсальный фотонный провод
industrialupgrade:universal_cable_item:6, §3Универсальный нейтронный провод
industrialupgrade:universal_cable_item:7, §bУниверсальный совершенный провод
industrialupgrade:universal_cable_item:8, §6Универсальный вселенский провод
industrialupgrade:universal_cable_item:9, §cУниверсальный дифракционный провод
industrialupgrade:universal_cable_item:10, §7Универсальный провод бесконечности
industrialupgrade:cooling_sensor, iu.cooling_sensor.name
industrialupgrade:heat_sensor, iu.heat_sensor.name
industrialupgrade:frequency_transmitter, Частотный связыватель
industrialupgrade:rotor_wood, item.rotor_wood.name
industrialupgrade:rotor_bronze, item.rotor_bronze.name
industrialupgrade:rotor_iron, item.rotor_iron.name
industrialupgrade:rotor_steel, item.rotor_steel.name
industrialupgrade:rotor_carbon, item.rotor_carbon.name
industrialupgrade:water_rotor_wood, item.water_rotor_wood.name
industrialupgrade:water_rotor_bronze, item.water_rotor_bronze.name
industrialupgrade:water_rotor_iron, item.water_rotor_iron.name
industrialupgrade:water_rotor_steel, item.water_rotor_steel.name
industrialupgrade:water_rotor_carbon, item.water_rotor_carbon.name
industrialupgrade:water_iridium, item.water_iridium.name
industrialupgrade:water_compressiridium, item.water_compressiridium.name
industrialupgrade:water_spectral, item.water_spectral.name
industrialupgrade:water_myphical, item.water_myphical.name
industrialupgrade:water_photon, item.water_photon.name
industrialupgrade:water_neutron, item.water_neutron.name
industrialupgrade:water_barionrotor, item.water_barionrotor.name
industrialupgrade:water_adronrotor, item.water_adronrotor.name
industrialupgrade:water_ultramarinerotor, item.water_ultramarinerotor.name
industrialupgrade:neutroniumingot, item.neutroniumingot.name.name
industrialupgrade:connect_item, item.connect_item.name.name
industrialupgrade:upgrade_speed_creation, item.upgrade_speed_creation.name.name
industrialupgrade:itemcore:0, §6Улучшенное ядро
industrialupgrade:itemcore:1, §3Гибридное ядро
industrialupgrade:itemcore:2, §9Совершенное ядро
industrialupgrade:itemcore:3, §2Квантовое ядро
industrialupgrade:itemcore:4, §eСпектральное ядро
industrialupgrade:itemcore:5, §5Протонное ядро
industrialupgrade:itemcore:6, §8Сингулярное ядро
industrialupgrade:itemcore:7, §cДифракционное ядро
industrialupgrade:itemcore:8, §aФотонное ядро
industrialupgrade:itemcore:9, §9Нейтронное ядро
industrialupgrade:itemcore:10, §fБарионное ядро
industrialupgrade:itemcore:11, §eАдронное ядро
industrialupgrade:itemcore:12, §bГравитонное ядро
industrialupgrade:itemcore:13, §8Кварковое ядро
industrialupgrade:corewind:0, Деревянная сердцевина ротора
industrialupgrade:corewind:1, Бронзовая сердцевина ротора
industrialupgrade:corewind:2, Железная сердцевина ротора
industrialupgrade:corewind:3, Стальная сердцевина ротора
industrialupgrade:corewind:4, Углеволоконная сердцевина ротора
industrialupgrade:corewind:5, Иридиевая сердцевина ротора
industrialupgrade:corewind:6, Сердцевина ротора сжатого иридия
industrialupgrade:corewind:7, Спектральная сердцевина ротора
industrialupgrade:corewind:8, Мистическая сердцевина ротора
industrialupgrade:corewind:9, Нейтронная сердцевина ротора
industrialupgrade:corewind:10, Фотонная сердцевина ротора
industrialupgrade:corewind:11, Барионная сердцевина ротора
industrialupgrade:corewind:12, Адронная сердцевина ротора
industrialupgrade:corewind:13, Ультрамариновая сердцевина ротора
industrialupgrade:autoheater, item.autoheater.name.name
industrialupgrade:itemcoolupgrade:0, Азотный модуль охлаждения
industrialupgrade:itemcoolupgrade:1, Водородный модуль охлаждения
industrialupgrade:itemcoolupgrade:2, Гелиевый модуль охлаждения
industrialupgrade:upgrademodules:0, Модификационный модуль: Генерация днём
industrialupgrade:upgrademodules:1, Модификационный модуль: Генерация ночью
industrialupgrade:upgrademodules:2, Модификационный модуль: Защита
industrialupgrade:upgrademodules:3, Модификационный модуль: Скорость добычи
industrialupgrade:upgrademodules:4, Модификационный модуль: Эффективность энергопотребления (лук)
industrialupgrade:upgrademodules:5, Модификационный модуль: Эффективность энергопотребления (сабля)
industrialupgrade:upgrademodules:6, Модификационный модуль: Глубина копания
industrialupgrade:upgrademodules:7, Модификационный модуль: Огнестойкость
industrialupgrade:upgrademodules:8, Модификационный модуль: Водное дыхание
industrialupgrade:upgrademodules:9, Модификационный модуль: Скорость
industrialupgrade:upgrademodules:10, Модификационный модуль: Прыгучесть
industrialupgrade:upgrademodules:11, Модификационный модуль: Урон (лук)
industrialupgrade:upgrademodules:12, Модификационный модуль: Урон (сабля)
industrialupgrade:upgrademodules:13, Модификационный модуль: Площадь копания
industrialupgrade:upgrademodules:14, Модификационный модуль: Скорость полёта
industrialupgrade:upgrademodules:15, Модификационный модуль: Хранилище
industrialupgrade:upgrademodules:16, Модификационный модуль: Эффективность энергопотребления (инструмент)
industrialupgrade:upgrademodules:17, Модификационный модуль: Вампиризм
industrialupgrade:upgrademodules:18, Модификационный модуль: Сопротивление
industrialupgrade:upgrademodules:19, Модификационный модуль: Отравление
industrialupgrade:upgrademodules:20, Модификационный модуль: Иссушение
industrialupgrade:upgrademodules:21, Модификационный модуль: Шёлковое касание
industrialupgrade:upgrademodules:22, Модификационный модуль: Невидимость
industrialupgrade:upgrademodules:23, Модификационный модуль: Добыча 
industrialupgrade:upgrademodules:24, Модификационный модуль: Воспламенение
industrialupgrade:upgrademodules:25, Модификационный модуль: Накопление заряда
industrialupgrade:upgrademodules:26, Модификационный модуль: Удача
industrialupgrade:upgrademodules:27, Модификационный модуль: Эффективность
industrialupgrade:upgrademodules:28, Модификационный модуль: Плавка
industrialupgrade:upgrademodules:29, Модификационный модуль: Ночное зрение
industrialupgrade:upgrademodules:30, Модификационный модуль: Шипы
industrialupgrade:upgrademodules:31, Модификационный модуль: Больше опыта
industrialupgrade:upgrademodules:32, Модификационный модуль: Слепота
industrialupgrade:upgrademodules:33, Модификационный модуль: Защита от стрел
industrialupgrade:upgrademodules:34, Модификационный модуль: Эффективное падение
industrialupgrade:upgrademodules:35, Модификационный модуль: Дробитель
industrialupgrade:upgrademodules:36, Модификационный модуль: Дробитель руд
industrialupgrade:upgrademodules:37, Модификационный модуль: Сокровища
industrialupgrade:upgrademodules:38, Модификационный модуль: Голод
industrialupgrade:upgrademodules:39, Модификационный модуль: Генератор
industrialupgrade:upgrademodules:40, Модификационный модуль: Автосбор
industrialupgrade:upgrademodules:41, Модификационный модуль: Творческий полёт
industrialupgrade:upgrademodules:42, Модификационный модуль: Магнитная сила
industrialupgrade:upgrademodules:43, Модификационный модуль: Экономичная зарядка
industrialupgrade:upgrademodules:44, Модификационный модуль: Бесплатная чистка
industrialupgrade:upgrademodules:45, Модификационный модуль: Сила краника
industrialupgrade:upgrademodules:46, Модификационный модуль: Ключ
industrialupgrade:quarrymodules:0, Модуль: Переплавка руд
industrialupgrade:quarrymodules:1, Модуль: Эффективность I
industrialupgrade:quarrymodules:2, Модуль: Эффективность II
industrialupgrade:quarrymodules:3, Модуль: Эффективность III
industrialupgrade:quarrymodules:4, Модуль: Эффективность IV
industrialupgrade:quarrymodules:5, Модуль: Эффективность V
industrialupgrade:quarrymodules:6, Модуль: Удача I
industrialupgrade:quarrymodules:7, Модуль: Удача II
industrialupgrade:quarrymodules:8, Модуль: Удача III
industrialupgrade:quarrymodules:9, Модуль: Область 3х3
industrialupgrade:quarrymodules:10, Модуль: Область 5х5
industrialupgrade:quarrymodules:11, Модуль: Область 7х7
industrialupgrade:quarrymodules:12, Модуль: Чёрный список
industrialupgrade:quarrymodules:13, Модуль: Белый список
industrialupgrade:quarrymodules:14, Модуль: Дробитель
industrialupgrade:quarrymodules:15, Модуль: Дробитель руд
industrialupgrade:lead_box, item.lead_box.name.name
industrialupgrade:windrod:0, Деревянная лопасть ротора
industrialupgrade:windrod:1, Бронзовая лопасть ротора
industrialupgrade:windrod:2, Железная лопасть ротора
industrialupgrade:windrod:3, Стальная лопасть ротора
industrialupgrade:windrod:4, Углеволоконная лопасть ротора
industrialupgrade:windrod:5, Иридиевая лопасть ротора
industrialupgrade:windrod:6, Лопасть ротора сжатого иридия
industrialupgrade:windrod:7, Спектральная лопасть ротора
industrialupgrade:windrod:8, Мистическая лопасть ротора
industrialupgrade:windrod:9, Нейтронная лопасть ротора
industrialupgrade:windrod:10, Фотонная лопасть ротора
industrialupgrade:windrod:11, Барионная лопасть ротора
industrialupgrade:windrod:12, Адронная лопасть ротора
industrialupgrade:windrod:13, Ультрамариновая лопасть ротора
industrialupgrade:qe_iu_item:0, Провод квантовой энергии
industrialupgrade:se_iu_item:0, Провод солнечной энергии
industrialupgrade:exp_iu_item:0, Провод опыта
industrialupgrade:itemadvbatchargecrystal, Заряжающий улучшенный энергетический кристалл
industrialupgrade:itembatchargecrystal, Заряжающий совершенный энергетический кристалл
industrialupgrade:re_battery, Аккумулятор
industrialupgrade:energy_crystal, Энергетический кристалл
industrialupgrade:lapotron_crystal, Лазуротроновый кристалл
industrialupgrade:charging_re_battery, Заряжающий аккумулятор
industrialupgrade:advanced_charging_re_battery, Улучшенный заряжающий аккумулятор
industrialupgrade:charging_energy_crystal, Заряжающий энергетический кристалл
industrialupgrade:charging_lapotron_crystal, Заряжающий лазуротроновый кристалл
industrialupgrade:advanced_re_battery, Улучшенный аккумулятор
industrialupgrade:batpack, item.batpack.name.name
industrialupgrade:advanced_batpack, item.advanced_batpack.name.name
industrialupgrade:jetpack, jetpack.name.name
industrialupgrade:lappack, item.lappack.name.name
industrialupgrade:single_use_battery, item.single_use_battery.name
industrialupgrade:upgradekitstorage:0, Набор улучшений из МЭСН в МФЭ
industrialupgrade:upgradekitstorage:1, Набор улучшений из МФЭ в МФСУ
industrialupgrade:upgradekitstorage:2, Набор улучшений из МФСУ в улучшенное МФСУ
industrialupgrade:upgradekitstorage:3, Набор улучшений из улучшенного МФСУ в продвинутое МФСУ
industrialupgrade:upgradekitstorage:4, Набор улучшений из продвинутого МФСУ в совершенное МФСУ
industrialupgrade:upgradekitstorage:5, Набор улучшений из совершенного МФСУ в барионное МФСУ
industrialupgrade:upgradekitstorage:6, Набор улучшений из барионного МФСУ в адронное МФСУ
industrialupgrade:upgradekitstorage:7, Набор улучшений из адронного МФСУ в гравитонное МФСУ
industrialupgrade:upgradekitstorage:8, Набор улучшений из гравитонного МФСУ в кварковое МФСУ
industrialupgrade:upgrades:0, Улучшение "Улучшенный ускоритель"
industrialupgrade:upgrades:1, Улучшение "Продвинутый ускоритель"
industrialupgrade:upgrades:2, Улучшение «Трансформатор х2»
industrialupgrade:upgrades:3, Улучшение «Трансформатор х4»
industrialupgrade:upgrades:4, Улучшение "Лазуротронное энергохранилище"
industrialupgrade:upgrades:5, Улучшение "Улучшенное лазуротронное энергохранилище"
industrialupgrade:upgrades:6, Улучшение "Продвинутое лазуротронное энергохранилище"
industrialupgrade:upgrades:7, Улучшение "Совершенное лазуротронное энергохранилище"
industrialupgrade:upgrades:8, Улучшение "Ускоритель"
industrialupgrade:upgrades:9, Улучшение "Трансформатор"
industrialupgrade:upgrades:10, Улучшение "Энергохранитель"
industrialupgrade:upgrades:11, Улучшение "Выталкиватель"
industrialupgrade:upgrades:12, Улучшение "Затягиватель"
industrialupgrade:upgrades:13, Улучшение "Выталкиватель жидкостей"
industrialupgrade:upgrades:14, Улучшение "Затягиватель жидкостей"
industrialupgrade:gravitool, item.GraviTool.name
industrialupgrade:cable_iu_item:0, §aСпектральный провод
industrialupgrade:cable_iu_item:1, §9Протонный провод
industrialupgrade:cable_iu_item:2, §eСингулярный провод
industrialupgrade:cable_iu_item:3, §6Мифический провод
industrialupgrade:cable_iu_item:4, §5Квантовый провод
industrialupgrade:cable_iu_item:5, §dФотонный провод
industrialupgrade:cable_iu_item:6, §3Нейтронный провод
industrialupgrade:cable_iu_item:7, §bСовершенный провод
industrialupgrade:cable_iu_item:8, §6Вселенский провод
industrialupgrade:cable_iu_item:9, §cДифракционный провод
industrialupgrade:cable_iu_item:10, §7Провод бесконечности
industrialupgrade:cable_iu_item:11, Медный провод
industrialupgrade:cable_iu_item:12, Изолированный медный провод
industrialupgrade:cable_iu_item:13, Стекловолоконный провод
industrialupgrade:cable_iu_item:14, Золотой провод
industrialupgrade:cable_iu_item:15, Изолированный золотой провод
industrialupgrade:cable_iu_item:16, Высоковольтный провод
industrialupgrade:cable_iu_item:17, Изолированный высоковольтный провод
industrialupgrade:cable_iu_item:18, Оловянный провод
industrialupgrade:cable_iu_item:19, Изолированный оловянный провод
industrialupgrade:pipes_iu_item:0, Тепловая труба
industrialupgrade:pipes_iu_item:1, Улучшенная тепловая труба
industrialupgrade:pipes_iu_item:2, Продвинутая тепловая труба
industrialupgrade:pipes_iu_item:3, Совершенная тепловая труба
industrialupgrade:pipes_iu_item:4, Квантовая тепловая труба
industrialupgrade:ruby_helmet, Рубиновый шлем
industrialupgrade:ruby_chestplate, Рубиновая кираса
industrialupgrade:ruby_leggings, Рубиновые поножи
industrialupgrade:ruby_boots, Рубиновые ботинки
industrialupgrade:topaz_helmet, Топазовый шлем
industrialupgrade:topaz_chestplate, Топазовая кираса
industrialupgrade:topaz_leggings, Топазовые поножи
industrialupgrade:topaz_boots, Топазовые ботинки
industrialupgrade:sapphire_helmet, Сапфировый шлем
industrialupgrade:sapphire_chestplate, Сапфировая кираса
industrialupgrade:sapphire_leggings, Сапфировые поножи
industrialupgrade:sapphire_boots, Сапфировые ботинки
industrialupgrade:hazmathelmet, Защитный шлем от термоядерного излучения
industrialupgrade:hazmatchest, Защитная куртка от термоядерного излучения
industrialupgrade:hazmatleggins, Защитные поножи от термоядерного излучения
industrialupgrade:hazmatboosts, Защитные ботинки от термоядерного излучения
industrialupgrade:adv_nano_helmet, iu.adv_nano_helmet.name
industrialupgrade:adv_nano_chestplate, iu.adv_nano_chestplate.name
industrialupgrade:adv_nano_leggings, iu.adv_nano_leggings.name
industrialupgrade:adv_nano_boots, iu.adv_nano_boots.name
industrialupgrade:iu_bags, item.iu_bags.name.name
industrialupgrade:adv_iu_bags, item.adv_iu_bags.name.name
industrialupgrade:imp_iu_bags, item.imp_iu_bags.name.name
industrialupgrade:itembatlamacrystal, Улучшенный энергетический кристалл
industrialupgrade:iridium, item.iridium.name
industrialupgrade:compressiridium, item.compressiridium.name
industrialupgrade:spectral, item.spectral.name
industrialupgrade:myphical, item.myphical.name
industrialupgrade:photon, item.photon.name
industrialupgrade:neutron, item.neutron.name
industrialupgrade:barionrotor, item.barionrotor.name
industrialupgrade:adronrotor, item.adronrotor.name
industrialupgrade:ultramarinerotor, item.ultramarinerotor.name
industrialupgrade:reactorprotonsimple, item.reactorprotonsimple.name
industrialupgrade:reactorprotondual, item.reactorprotondual.name
industrialupgrade:reactorprotonquad, item.reactorprotonquad.name
industrialupgrade:reactortoriysimple, item.reactortoriysimple.name
industrialupgrade:reactortoriydual, item.reactortoriydual.name
industrialupgrade:reactortoriyquad, item.reactortoriyquad.name
industrialupgrade:reactoramericiumsimple, item.reactoramericiumsimple.name
industrialupgrade:reactoramericiumdual, item.reactoramericiumdual.name
industrialupgrade:reactoramericiumquad, item.reactoramericiumquad.name
industrialupgrade:reactorneptuniumsimple, item.reactorneptuniumsimple.name
industrialupgrade:reactorneptuniumdual, item.reactorneptuniumdual.name
industrialupgrade:reactorneptuniumquad, item.reactorneptuniumquad.name
industrialupgrade:reactorcuriumsimple, item.reactorcuriumsimple.name
industrialupgrade:reactorcuriumdual, item.reactorcuriumdual.name
industrialupgrade:reactorcuriumquad, item.reactorcuriumquad.name
industrialupgrade:reactorcaliforniasimple, item.reactorcaliforniasimple.name
industrialupgrade:reactorcaliforniadual, item.reactorcaliforniadual.name
industrialupgrade:reactorcaliforniaquad, item.reactorcaliforniaquad.name
industrialupgrade:reactormendeleviumsimple, item.reactormendeleviumsimple.name
industrialupgrade:reactormendeleviumdual, item.reactormendeleviumdual.name
industrialupgrade:reactormendeleviumquad, item.reactormendeleviumquad.name
industrialupgrade:reactorberkeliumsimple, item.reactorberkeliumsimple.name
industrialupgrade:reactorberkeliumdual, item.reactorberkeliumdual.name
industrialupgrade:reactorberkeliumquad, item.reactorberkeliumquad.name
industrialupgrade:reactoreinsteiniumsimple, item.reactoreinsteiniumsimple.name
industrialupgrade:reactoreinsteiniumdual, item.reactoreinsteiniumdual.name
industrialupgrade:reactoreinsteiniumquad, item.reactoreinsteiniumquad.name
industrialupgrade:reactoruran233simple, item.reactoruran233simple.name
industrialupgrade:reactoruran233dual, item.reactoruran233dual.name
industrialupgrade:reactoruran233quad, item.reactoruran233quad.name
industrialupgrade:katana, iu.katana.name
industrialupgrade:circuit:0, Нано-конденсатор
industrialupgrade:circuit:1, Квантовый конденсатор
industrialupgrade:circuit:2, Спектральный конденсатор
industrialupgrade:circuit:3, Нано-чип SOIC
industrialupgrade:circuit:4, Квантовый чип SOIC
industrialupgrade:circuit:5, Спектральный чип SOIC
industrialupgrade:circuit:6, Нано-чип QFP
industrialupgrade:circuit:7, Квантовый чип QFP
industrialupgrade:circuit:8, Спектральный чип QFP
industrialupgrade:circuit:9, Нано-электросхема
industrialupgrade:circuit:10, Квантовая электросхема
industrialupgrade:circuit:11, §dСпектральная электросхема
industrialupgrade:circuit:12, Улучшенный конденсатор
industrialupgrade:circuit:13, Улучшенный чип SOIC
industrialupgrade:circuit:14, Улучшенный чип QFP
industrialupgrade:circuit:15, Конденсатор
industrialupgrade:circuit:16, Чип SOIC
industrialupgrade:circuit:17, Чип QFP
industrialupgrade:circuit:18, Фотонный конденсатор
industrialupgrade:circuit:19, Фотонный чип SOIC
industrialupgrade:circuit:20, Фотонный чип QFP
industrialupgrade:circuit:21, §aФотонная электросхема
industrialupgrade:lens:0, Воздушная линза
industrialupgrade:lens:1, Земляная линза
industrialupgrade:lens:2, Адская линза
industrialupgrade:lens:3, Краевая линза
industrialupgrade:lens:4, Ночная линза
industrialupgrade:lens:5, Солнечная линза
industrialupgrade:lens:6, Дождевая линза
industrialupgrade:paints:0, Пустая банка
industrialupgrade:paints:1, Голубая краска
industrialupgrade:paints:2, Жёлтая краска
industrialupgrade:paints:3, Зелёная краска
industrialupgrade:paints:4, Красная краска
industrialupgrade:paints:5, Оранжевая краска
industrialupgrade:paints:6, Синяя краска
industrialupgrade:paints:7, Фиолетовая краска
industrialupgrade:paints:8, Бирюзовая краска
industrialupgrade:paints:9, Белая краска
industrialupgrade:paints:10, Светло-жёлтая краска
industrialupgrade:paints:11, Лаймовая краска
industrialupgrade:coolpipes_iu_item:0, Охлаждающая труба
industrialupgrade:coolpipes_iu_item:1, Улучшенная охлаждающая труба
industrialupgrade:coolpipes_iu_item:2, Продвинутая охлаждающая труба
industrialupgrade:coolpipes_iu_item:3, Совершенная охлаждающая труба
industrialupgrade:coolpipes_iu_item:4, Квантовая охлаждающая труба
industrialupgrade:photoniumglass:0, §6Улучшенное стекло
industrialupgrade:photoniumglass:1, §3Гибридное стекло
industrialupgrade:photoniumglass:2, §9Совершенное стекло
industrialupgrade:photoniumglass:3, §2Квантовое стекло
industrialupgrade:photoniumglass:4, §eСпектральное стекло
industrialupgrade:photoniumglass:5, §5Протонное стекло
industrialupgrade:photoniumglass:6, §8Сингулярное стекло
industrialupgrade:photoniumglass:7, §cДифракционное стекло
industrialupgrade:photoniumglass:8, §aФотонное стекло
industrialupgrade:photoniumglass:9, §9Нейтронное стекло
industrialupgrade:photoniumglass:10, §fБарионное стекло
industrialupgrade:photoniumglass:11, §eАдронное стекло
industrialupgrade:photoniumglass:12, §bГравитонное стекло
industrialupgrade:photoniumglass:13, §8Кварковое стекло
industrialupgrade:solidmatter:0, Твёрдая материя
industrialupgrade:solidmatter:1, Солнечная твёрдая материя
industrialupgrade:solidmatter:2, Водяная твёрдая материя
industrialupgrade:solidmatter:3, Адская твёрдая материя
industrialupgrade:solidmatter:4, Ночная твёрдая материя
industrialupgrade:solidmatter:5, Земляная твёрдая материя
industrialupgrade:solidmatter:6, Краевая твёрдая материя
industrialupgrade:solidmatter:7, Воздушная твёрдая материя
industrialupgrade:spawnermodules:0, Охотничий модуль: Добыча I
industrialupgrade:spawnermodules:1, Охотничий модуль: Добыча II
industrialupgrade:spawnermodules:2, Охотничий модуль: Добыча III
industrialupgrade:spawnermodules:3, Охотничий модуль: Скорость
industrialupgrade:spawnermodules:4, Охотничий модуль: Опыт +25%
industrialupgrade:spawnermodules:5, Охотничий модуль: Опыт +50%
industrialupgrade:spawnermodules:6, Охотничий модуль: 2 моба
industrialupgrade:spawnermodules:7, Охотничий модуль: 3 моба
industrialupgrade:spawnermodules:8, Охотничий модуль: Заговор огня
industrialupgrade:itemingots:0, Михаловый слиток
industrialupgrade:itemingots:1, Алюминиевый слиток
industrialupgrade:itemingots:2, Ванадиевый слиток
industrialupgrade:itemingots:3, Вольфрамовый слиток
industrialupgrade:itemingots:4, Инварный слиток
industrialupgrade:itemingots:5, Каравковый слиток
industrialupgrade:itemingots:6, Кобальтовый слиток
industrialupgrade:itemingots:7, Магниевый слиток
industrialupgrade:itemingots:8, Никелевый слиток
industrialupgrade:itemingots:9, Платиновый слиток
industrialupgrade:itemingots:10, Титановый слиток
industrialupgrade:itemingots:11, Хромовый слиток
industrialupgrade:itemingots:12, Шпинелевый слиток
industrialupgrade:itemingots:13, Электрумовый слиток
industrialupgrade:itemingots:14, Серебряный слиток
industrialupgrade:itemingots:15, Цинковый слиток
industrialupgrade:itemingots:16, Марганцевый слиток
industrialupgrade:itemingots:17, Иридиевый слиток
industrialupgrade:itemingots:18, Германиевый слиток
industrialupgrade:itemingots:19, Композитный слиток
industrialupgrade:itemingots:20, Бронзовый слиток
industrialupgrade:itemingots:21, Медный слиток
industrialupgrade:itemingots:22, Свинцовый слиток
industrialupgrade:itemingots:23, Стальной слиток
industrialupgrade:itemingots:24, Оловянный слиток
industrialupgrade:itemingots:25, Осмиевый слиток
industrialupgrade:itemingots:26, Танталиевый слиток
industrialupgrade:itemingots:27, Кадмиевый слиток
industrialupgrade:itemdust:0, Михаловая пыль
industrialupgrade:itemdust:1, Алюминиевая пыль
industrialupgrade:itemdust:2, Ванадиевая пыль
industrialupgrade:itemdust:3, Вольфрамовая пыль
industrialupgrade:itemdust:4, Инварная пыль
industrialupgrade:itemdust:5, Каравковая пыль
industrialupgrade:itemdust:6, Кобальтовая пыль
industrialupgrade:itemdust:7, Магниевая пыль
industrialupgrade:itemdust:8, Никелевая пыль
industrialupgrade:itemdust:9, Платиновая пыль
industrialupgrade:itemdust:10, Титановая пыль
industrialupgrade:itemdust:11, Хромовая пыль
industrialupgrade:itemdust:12, Шпинелевая пыль
industrialupgrade:itemdust:13, Электрумовая пыль
industrialupgrade:itemdust:14, Серебряная пыль
industrialupgrade:itemdust:15, Цинковая пыль
industrialupgrade:itemdust:16, Марганцевая пыль
industrialupgrade:itemdust:17, Иридиевая пыль
industrialupgrade:itemdust:18, Германиевая пыль
industrialupgrade:itemdust:19, Бронзовая пыль
industrialupgrade:itemdust:20, Глиняная пыль
industrialupgrade:itemdust:21, Угольная пыль
industrialupgrade:itemdust:22, Медная пыль
industrialupgrade:itemdust:23, Алмазная пыль
industrialupgrade:itemdust:24, Энергетическая пыль
industrialupgrade:itemdust:25, Золотая пыль
industrialupgrade:itemdust:26, Железная пыль
industrialupgrade:itemdust:27, Лазуритовая пыль
industrialupgrade:itemdust:28, Свинцовая пыль
industrialupgrade:itemdust:29, Обсидиановая пыль
industrialupgrade:itemdust:30, Каменная пыль
industrialupgrade:itemdust:31, Серная пыль
industrialupgrade:itemdust:32, Оловянная пыль
industrialupgrade:itemdust:33, Диоксид кремния
industrialupgrade:itemdust:34, Осмиевая пыль
industrialupgrade:itemdust:35, Танталиевая пыль
industrialupgrade:itemdust:36, Кадмиевая пыль
industrialupgrade:nugget:0, Кусочек михала
industrialupgrade:nugget:1, Кусочек алюминия
industrialupgrade:nugget:2, Кусочек ванадия
industrialupgrade:nugget:3, Кусочек вольфрама
industrialupgrade:nugget:4, Кусочек инвара
industrialupgrade:nugget:5, Кусочек каравка
industrialupgrade:nugget:6, Кусочек кобальта
industrialupgrade:nugget:7, Кусочек магния
industrialupgrade:nugget:8, Кусочек никеля
industrialupgrade:nugget:9, Кусочек платины
industrialupgrade:nugget:10, Кусочек титана
industrialupgrade:nugget:11, Кусочек хрома
industrialupgrade:nugget:12, Кусочек шпинеля
industrialupgrade:nugget:13, Кусочек электрума
industrialupgrade:nugget:14, Кусочек серебра
industrialupgrade:nugget:15, Кусочек цинка
industrialupgrade:nugget:16, Кусочек марганца
industrialupgrade:nugget:17, Кусочек иридия
industrialupgrade:nugget:18, Кусочек германия
industrialupgrade:nugget:19, Осмиевый самородок
industrialupgrade:nugget:20, Танталиевый самородок
industrialupgrade:nugget:21, Кадмиевый самородок
industrialupgrade:casing:0, Михаловая оболочка
industrialupgrade:casing:1, Алюминиевая оболочка
industrialupgrade:casing:2, Ванадиевая оболочка
